,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
0,619,France,Female,42,2,0.0,1,1,1,101348.88,1,1,2,DIAMOND,464
2,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1,3,DIAMOND,377
3,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,5,GOLD,350
6,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,2,SILVER,206
8,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,3,GOLD,251
9,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,3,GOLD,342
10,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264
12,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119
13,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549
19,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477
20,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568
23,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665
24,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225
25,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659
27,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448
29,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343
31,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628
35,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877
38,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0,3,GOLD,944
41,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828
42,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789
43,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,2,GOLD,567
52,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0,3,GOLD,982
55,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657
56,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0,2,PLATINUM,221
59,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954
69,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0,5,SILVER,985
71,813,France,Male,29,6,0.0,1,1,0,33953.87,0,0,3,PLATINUM,259
74,519,France,Male,36,9,0.0,2,0,1,145562.4,0,0,2,PLATINUM,833
75,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,1,PLATINUM,527
76,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0,5,SILVER,220
77,678,France,Female,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983
80,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798
81,777,France,Female,32,2,0.0,1,1,0,136458.19,1,1,5,SILVER,917
82,543,France,Female,36,3,0.0,2,0,0,26019.59,0,0,2,DIAMOND,255
83,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511
84,493,France,Female,46,4,0.0,2,1,0,1907.66,0,0,1,SILVER,498
87,729,France,Male,30,9,0.0,2,1,0,151869.35,0,0,1,DIAMOND,807
88,646,France,Female,46,4,0.0,3,1,0,93251.42,1,1,3,PLATINUM,470
91,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559
92,524,France,Female,36,10,0.0,2,1,0,109614.57,0,0,2,GOLD,375
93,769,France,Male,29,8,0.0,2,1,1,172290.61,0,0,2,DIAMOND,411
99,413,France,Male,34,9,0.0,2,0,0,6534.18,0,0,1,PLATINUM,449
100,665,France,Female,40,6,0.0,1,1,1,161848.03,0,0,2,SILVER,651
101,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520
102,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234
112,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0,5,PLATINUM,709
117,506,France,Female,41,1,0.0,2,1,0,31766.3,0,0,4,GOLD,594
120,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0,4,SILVER,370
122,656,France,Female,39,6,0.0,2,1,0,141069.88,0,0,4,DIAMOND,638
124,625,France,Female,28,3,0.0,1,0,0,183646.41,0,0,4,GOLD,718
125,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1,3,DIAMOND,437
126,549,France,Female,52,1,0.0,1,0,1,8636.05,1,1,4,DIAMOND,485
128,828,France,Female,41,7,0.0,2,1,0,171378.77,0,0,2,PLATINUM,666
129,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0,4,GOLD,730
130,758,France,Female,34,3,0.0,2,1,1,124226.16,0,0,2,PLATINUM,375
132,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0,4,DIAMOND,595
133,686,France,Male,25,1,0.0,2,0,1,16459.37,0,0,1,DIAMOND,578
137,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0,1,PLATINUM,374
141,663,France,Male,34,7,0.0,2,1,1,180427.24,0,0,3,SILVER,912
142,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0,4,GOLD,462
144,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0,2,SILVER,402
147,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0,5,PLATINUM,652
148,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0,2,SILVER,520
149,416,France,Male,32,0,0.0,2,0,1,878.87,0,0,5,GOLD,884
151,535,France,Female,48,9,0.0,1,1,0,149892.79,1,1,4,GOLD,697
153,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,0,1,DIAMOND,620
154,614,France,Female,43,6,0.0,2,1,1,109041.53,0,0,1,PLATINUM,318
156,758,France,Female,33,7,0.0,2,0,0,82996.47,0,0,4,PLATINUM,953
158,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0,1,PLATINUM,250
161,684,France,Male,30,2,0.0,2,1,0,83473.82,0,0,4,DIAMOND,699
162,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,0,3,PLATINUM,855
170,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0,1,GOLD,249
173,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1,5,DIAMOND,872
174,512,France,Male,40,5,0.0,2,1,1,146457.83,0,0,3,DIAMOND,435
176,510,France,Female,30,0,0.0,2,1,1,130553.47,0,0,2,DIAMOND,430
181,510,France,Male,65,2,0.0,2,1,1,48071.61,0,0,1,SILVER,280
183,636,France,Male,42,2,0.0,2,1,1,55470.78,0,0,4,PLATINUM,991
184,804,France,Female,50,4,0.0,1,1,1,8546.87,1,1,2,GOLD,482
185,514,France,Male,32,8,0.0,2,1,0,95857.18,0,0,4,PLATINUM,423
186,730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0,5,GOLD,260
190,715,France,Female,41,8,56214.85,2,0,0,92982.61,1,1,4,GOLD,790
191,512,France,Female,36,3,84327.77,2,1,0,17675.36,0,0,5,PLATINUM,727
192,479,France,Male,40,1,0.0,2,0,0,114996.43,0,0,3,SILVER,909
193,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,0,2,GOLD,799
195,807,France,Male,35,3,174790.15,1,1,1,600.36,0,0,3,SILVER,861
198,501,France,Male,57,10,0.0,2,1,1,47847.19,0,0,5,PLATINUM,374
199,521,France,Male,35,6,96423.84,1,1,0,10488.44,0,0,4,PLATINUM,280
201,759,France,Male,42,4,105420.18,1,0,1,121409.06,0,0,3,GOLD,435
203,711,France,Female,38,2,129022.06,2,1,1,14374.86,1,1,4,DIAMOND,321
205,550,France,Male,37,3,0.0,1,1,1,179670.31,0,0,3,GOLD,516
207,618,France,Male,34,5,134954.53,1,1,1,151954.39,0,0,2,SILVER,512
208,643,France,Male,45,5,0.0,1,1,0,142513.5,1,1,3,GOLD,730
209,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0,3,DIAMOND,244
211,603,France,Male,31,8,0.0,2,1,1,169915.02,0,0,3,GOLD,245
212,620,France,Female,41,9,0.0,2,0,0,88852.47,0,0,3,DIAMOND,848
213,676,France,Female,34,1,63095.01,1,1,1,40645.81,0,0,3,SILVER,974
216,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0,3,DIAMOND,310
218,807,France,Male,43,1,105799.32,2,1,0,34888.04,1,1,4,DIAMOND,924
219,592,France,Male,54,8,0.0,1,1,1,28737.71,1,1,2,PLATINUM,359
220,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,0,5,SILVER,811
222,567,France,Male,42,2,0.0,2,1,1,167984.61,0,0,5,SILVER,959
223,850,France,Male,33,10,0.0,1,1,0,4861.72,1,1,1,SILVER,359
225,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,0,5,GOLD,729
226,694,France,Female,30,9,0.0,2,1,1,26960.31,0,0,5,DIAMOND,829
230,673,France,Male,72,1,0.0,2,0,1,111981.19,0,0,3,SILVER,865
231,610,France,Male,40,0,0.0,2,1,0,62232.6,0,0,5,GOLD,690
232,512,France,Female,37,1,0.0,2,0,1,156105.03,0,0,4,PLATINUM,722
234,585,France,Female,67,5,113978.97,2,0,1,93146.11,0,0,5,SILVER,580
236,712,France,Female,29,2,0.0,1,1,1,144375.0,0,0,4,GOLD,930
238,668,France,Female,46,2,0.0,3,1,0,89048.46,1,1,1,DIAMOND,943
239,703,France,Male,28,2,81173.83,2,0,1,162812.16,0,0,2,PLATINUM,388
242,703,France,Male,37,8,105961.68,2,0,1,74158.8,0,0,1,DIAMOND,619
245,635,France,Female,40,10,123497.58,1,1,0,131953.23,1,1,5,GOLD,774
247,545,France,Female,26,1,0.0,2,1,1,199638.56,0,0,5,PLATINUM,902
252,681,France,Female,79,0,0.0,2,0,1,170968.99,0,0,5,DIAMOND,333
256,727,France,Male,34,10,0.0,2,1,1,198637.34,0,0,4,GOLD,768
258,693,France,Female,30,6,127992.25,1,1,1,50457.2,0,0,1,SILVER,483
262,557,France,Female,32,6,184686.41,2,1,0,14956.44,0,0,3,GOLD,299
263,682,France,Female,26,0,110654.02,1,0,1,111879.21,0,0,2,PLATINUM,899
266,498,France,Male,34,2,0.0,2,1,1,148528.24,0,0,1,DIAMOND,549
267,651,France,Male,36,7,0.0,2,1,0,13898.31,0,0,1,GOLD,545
273,707,France,Male,30,8,0.0,2,1,0,33159.37,0,0,5,GOLD,402
276,756,France,Male,62,3,0.0,1,1,1,11199.04,1,1,3,SILVER,600
277,777,France,Female,53,10,0.0,2,1,0,189992.97,0,0,2,PLATINUM,306
278,646,France,Male,35,6,84026.86,1,0,1,164255.69,0,0,3,SILVER,635
279,714,France,Male,46,1,0.0,1,1,0,152167.79,1,1,2,PLATINUM,747
280,782,France,Male,39,8,0.0,2,1,1,33949.67,0,0,3,PLATINUM,424
283,807,France,Male,42,7,118274.71,1,1,1,25885.72,0,0,3,DIAMOND,899
284,799,France,Female,22,8,174185.98,2,0,1,192633.85,0,0,3,PLATINUM,219
285,675,France,Male,40,7,113208.86,2,1,0,34577.36,0,0,3,SILVER,587
287,475,France,Female,32,8,119023.28,1,1,0,100816.29,0,0,1,PLATINUM,278
292,583,France,Male,27,7,0.0,2,1,0,51285.49,0,0,1,PLATINUM,250
294,681,France,Male,38,3,0.0,2,1,1,112491.96,0,0,1,DIAMOND,861
295,773,France,Male,25,2,135903.33,1,1,0,73656.38,0,0,4,PLATINUM,790
296,714,France,Female,31,4,125169.26,1,1,1,106636.89,0,0,3,PLATINUM,669
298,511,France,Male,58,0,149117.31,1,1,1,162599.51,0,0,1,GOLD,517
299,627,France,Male,33,5,0.0,2,1,1,103737.82,0,0,4,PLATINUM,499
300,694,France,Female,31,10,0.0,2,1,0,160990.27,0,0,3,SILVER,673
302,687,France,Male,35,8,0.0,2,1,0,10334.05,0,0,5,PLATINUM,809
303,712,France,Female,33,6,0.0,2,1,1,190686.16,0,0,5,GOLD,460
304,553,France,Male,33,4,118082.89,1,0,0,94440.45,0,0,4,SILVER,221
305,667,France,Male,31,1,119266.69,1,1,1,28257.63,0,0,2,SILVER,730
306,731,France,Male,43,2,0.0,1,1,1,170034.95,1,1,2,DIAMOND,777
308,614,France,Male,50,4,137104.47,1,1,0,127166.49,1,1,1,DIAMOND,958
310,652,France,Female,80,4,0.0,2,1,1,188603.07,0,0,1,GOLD,662
312,642,France,Male,38,3,0.0,2,0,0,171463.83,0,0,2,GOLD,737
316,559,France,Male,49,2,147069.78,1,1,0,120540.83,1,1,1,DIAMOND,245
319,429,France,Male,24,4,95741.75,1,1,0,46170.75,0,0,2,GOLD,352
321,680,France,Female,30,8,141441.75,1,1,1,16278.97,0,0,1,SILVER,597
322,749,France,Male,40,1,139290.41,1,1,0,182855.42,1,1,1,SILVER,381
323,763,France,Female,31,4,0.0,2,0,0,50404.72,0,0,3,PLATINUM,668
324,734,France,Male,30,3,0.0,2,1,0,107640.25,0,0,4,DIAMOND,245
325,716,France,Male,35,4,144428.87,1,1,0,134132.65,0,0,2,PLATINUM,495
326,594,France,Male,35,2,0.0,2,1,0,103480.69,0,0,4,DIAMOND,378
327,644,France,Female,46,9,95441.27,1,1,0,108761.05,1,1,1,SILVER,568
330,656,France,Male,50,7,0.0,2,0,1,72143.44,0,0,1,GOLD,829
335,485,France,Male,29,7,182123.79,1,1,0,116828.51,1,1,4,GOLD,583
337,649,France,Male,33,2,0.0,2,1,0,2010.98,0,0,3,DIAMOND,720
341,659,France,Male,31,4,118342.26,1,0,0,161574.19,0,0,3,SILVER,391
343,543,France,Male,22,8,0.0,2,0,0,127587.22,0,0,3,PLATINUM,251
344,718,France,Female,25,7,0.0,2,1,0,30380.12,0,0,2,PLATINUM,237
345,840,France,Female,43,7,0.0,2,1,0,90908.95,0,0,2,SILVER,645
349,582,France,Male,39,5,0.0,2,1,1,129892.93,0,0,4,DIAMOND,343
354,613,France,Female,45,1,187841.99,2,1,1,147224.27,0,0,1,PLATINUM,482
355,539,France,Male,30,0,0.0,2,1,0,160979.66,0,0,4,DIAMOND,231
358,737,France,Male,41,1,101960.74,1,1,1,123547.28,0,0,5,SILVER,463
359,520,France,Male,58,3,0.0,2,0,1,32790.02,0,0,5,DIAMOND,253
