,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
7,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,2,DIAMOND,282
15,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308
16,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,2,SILVER,163
26,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236
28,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499
32,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611
39,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,5,GOLD,419
45,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,1,SILVER,296
46,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779
47,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730
48,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960
49,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268
50,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,4,SILVER,829
51,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,3,SILVER,665
53,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,1,3,SILVER,343
54,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1,2,DIAMOND,225
57,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0,2,PLATINUM,406
60,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823
61,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769
64,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882
65,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,5,GOLD,379
66,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,1,3,PLATINUM,469
67,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683
68,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1,1,GOLD,770
70,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,4,GOLD,725
73,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,2,SILVER,988
79,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,3,SILVER,281
89,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659
97,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965
106,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838
107,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786
109,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328
110,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,4,SILVER,347
111,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0,5,SILVER,534
114,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1,5,PLATINUM,541
115,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736
116,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0,4,SILVER,529
118,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,1,1,SILVER,462
119,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0,3,PLATINUM,429
123,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0,1,GOLD,462
127,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,1,3,PLATINUM,410
131,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0,5,GOLD,411
134,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377
135,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0,2,GOLD,831
