,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
1,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,3,DIAMOND,456
4,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,5,GOLD,425
5,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484
11,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249
14,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,2,GOLD,318
17,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544
18,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732
21,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,2,DIAMOND,336
22,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,2,DIAMOND,887
30,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298
33,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922
34,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276
36,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471
37,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994
40,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0,4,DIAMOND,545
44,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884
58,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,1,5,SILVER,549
62,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,5,PLATINUM,481
63,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903
72,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979
78,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582
85,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651
86,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,2,SILVER,852
90,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752
94,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0,4,DIAMOND,722
